,DateOfBite,Species,Breed,Age,SpayNeuter,Borough
0,January 01 2018,DOG,Pit Bull,4,False,Brooklyn
1,January 04 2018,DOG,Pit Bull,4,False,Brooklyn
2,January 06 2018,DOG,Pit Bull,4,False,Brooklyn
3,January 08 2018,DOG,Mixed/Other,4,False,Brooklyn
4,January 09 2018,DOG,Pit Bull,4,False,Brooklyn
5,January 03 2018,DOG,BASENJI,4Y,False,Brooklyn
6,January 01 2018,DOG,Pit Bull,4Y,False,Brooklyn
7,January 03 2018,DOG,Pit Bull,4Y,False,Brooklyn
8,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,False,Brooklyn
9,January 10 2018,DOG,MIXED,3Y,False,Brooklyn
10,January 06 2018,DOG,MIXED,3Y,False,Brooklyn
11,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,True,Brooklyn
12,January 06 2018,DOG,Great Dane,6,True,Brooklyn
13,January 01 2018,DOG,Pit Bull,6,False,Brooklyn
14,January 09 2018,DOG,Labradoodle,5,True,Brooklyn
15,January 01 2018,DOG,West High White Terrier,5,False,Brooklyn
16,January 14 2018,DOG,American Pit Bull Terrier/Pit Bull,5,False,Brooklyn
17,January 07 2018,DOG,American Pit Bull Terrier/Pit Bull,5,False,Brooklyn
18,January 13 2018,DOG,MIXED,7,False,Brooklyn
19,January 10 2018,DOG,American Pit Bull Terrier/Pit Bull,7,False,Brooklyn
20,January 15 2018,DOG,"Poodle, Miniature",8,True,Brooklyn
21,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,True,Brooklyn
22,January 13 2018,DOG,Pekingese,11,False,Brooklyn
23,January 09 2018,DOG,Pekingese,11,False,Brooklyn
24,January 01 2018,DOG,Pekingese,11,False,Brooklyn
25,January 18 2018,DOG,Pekingese,3,True,Brooklyn
26,January 08 2018,DOG,POODLE X,13Y,True,Brooklyn
27,January 18 2018,DOG,Labrador Retriever Crossbreed,11,True,Brooklyn
28,January 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,True,Brooklyn
29,January 17 2018,DOG,Dachshund Smooth Coat,2,False,Brooklyn
30,January 20 2018,DOG,Pit Bull,2,False,Brooklyn
31,January 21 2018,DOG,Pit Bull,2,True,Brooklyn
32,January 23 2018,DOG,MIXED,2,False,Brooklyn
33,January 23 2018,DOG,MIXED,2,False,Brooklyn
34,January 23 2018,DOG,Chihuahua,4,False,Brooklyn
35,January 15 2018,DOG,Pit Bull,4,False,Brooklyn
36,January 23 2018,DOG,Yorkshire Terrier,4,False,Brooklyn
37,January 24 2018,DOG,Shih Tzu,4,False,Brooklyn
38,January 28 2018,DOG,Pug,8,True,Brooklyn
39,January 27 2018,DOG,Maltese,8,False,Brooklyn
40,January 28 2018,DOG,Mixed/Other,8,False,Brooklyn
41,January 29 2018,DOG,Mixed/Other,7,False,Brooklyn
42,January 27 2018,DOG,MINATURE PINSCHER X,7,False,Brooklyn
43,January 28 2018,DOG,MINATURE PINSCHER X,8,False,Brooklyn
44,February 01 2018,DOG,TERRIER CROSS,4,False,Brooklyn
45,January 31 2018,DOG,Shih Tzu,4,False,Brooklyn
46,February 01 2018,DOG,"Dachshund, Wirehaired, Miniature",10M,False,Brooklyn
47,January 29 2018,DOG,AMERICAN STAFF X,3,True,Brooklyn
48,February 02 2018,DOG,AMERICAN STAFF X,3,False,Brooklyn
49,February 05 2018,DOG,Bichon Frise,3,False,Brooklyn
50,February 05 2018,DOG,German Shepherd,1,False,Brooklyn
51,January 31 2018,DOG,Pit Bull,1,False,Brooklyn
52,February 04 2018,DOG,Pit Bull,1,False,Brooklyn
53,February 04 2018,DOG,MIXED BREED,1,False,Brooklyn
54,January 29 2018,DOG,MIXED,5,False,Brooklyn
55,January 21 2018,DOG,Pit Bull,5,False,Brooklyn
56,January 21 2018,DOG,Pit Bull,5,False,Brooklyn
57,February 09 2018,DOG,Chihuahua,9M,False,Brooklyn
58,February 07 2018,DOG,American Pit Bull Terrier/Pit Bull,2,False,Brooklyn
59,February 13 2018,DOG,MIXED BREED,2,False,Brooklyn
60,February 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,False,Brooklyn
61,February 12 2018,DOG,German Shepherd,3,False,Brooklyn
62,February 15 2018,DOG,MIXED BREED,3,False,Brooklyn
63,February 10 2018,DOG,Labrador Retriever,5,True,Brooklyn
64,February 11 2018,DOG,Rottweiler,5,False,Brooklyn
65,February 16 2018,DOG,SHIH TZU X,9,False,Brooklyn
66,February 14 2018,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,False,Brooklyn
67,February 18 2018,DOG,POMERANIAN MIX,8M,False,Brooklyn
68,February 19 2018,DOG,Norfolk Terrier,8M,False,Brooklyn
69,February 20 2018,DOG,BORDER COLLIE MIX,3,False,Brooklyn
70,February 16 2018,DOG,Beagle Crossbreed,4,True,Brooklyn
71,February 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,2,False,Brooklyn
72,February 17 2018,DOG,POODLE MIX,4,True,Brooklyn
73,February 11 2018,DOG,UNCERTAIN,4,False,Brooklyn
74,February 17 2018,DOG,MIXED BREED,2,True,Brooklyn
75,February 21 2018,DOG,MIXED BREED,2,False,Brooklyn
76,February 07 2018,DOG,Labrador Retriever Crossbreed,4,True,Brooklyn
77,February 09 2018,DOG,Chihuahua,7,True,Brooklyn
78,February 22 2018,DOG,American Pit Bull Terrier/Pit Bull,2,False,Brooklyn
79,February 24 2018,DOG,Pit Bull,3,True,Brooklyn
80,February 25 2018,DOG,Yorkshire Terrier,3,False,Brooklyn
81,February 24 2018,DOG,Rottweiler,3,False,Brooklyn
82,February 25 2018,DOG,Pit Bull,3,False,Brooklyn
83,February 26 2018,DOG,MINI PINSCHER/POMERANIAN X,8,True,Brooklyn
84,February 27 2018,DOG,Pit Bull,3,False,Brooklyn
85,February 26 2018,DOG,"Poodle, Standard",5,False,Brooklyn
86,February 17 2018,DOG,Pit Bull,5,False,Brooklyn
87,February 26 2018,DOG,Labradoodle,8,True,Brooklyn
88,March 04 2018,DOG,UNCERTAIN,8,False,Brooklyn
89,March 03 2018,DOG,Australian Silky Terrier,6,True,Brooklyn
90,March 02 2018,DOG,Cocker Spaniel,2,False,Brooklyn
91,March 04 2018,DOG,Beagle Crossbreed,2,False,Brooklyn
92,March 04 2018,DOG,Siberian Husky,5,True,Brooklyn
93,March 05 2018,DOG,MIXED BREED,3,False,Brooklyn
94,March 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,True,Brooklyn
95,February 28 2018,DOG,SHEPHERD/POINTER X,1,True,Brooklyn
96,March 05 2018,DOG,Boxer,1,False,Brooklyn
97,March 06 2018,DOG,Shih Tzu,1,False,Brooklyn
98,March 06 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
99,March 06 2018,DOG,MIXED BREED,13,True,Brooklyn
100,March 03 2018,DOG,TERRIER MIX,5,False,Brooklyn
101,February 21 2018,DOG,German Shepherd,5,False,Brooklyn
102,March 04 2018,DOG,German Shepherd,5,False,Brooklyn
103,February 22 2018,DOG,UNCERTAIN,5,False,Brooklyn
104,March 11 2018,DOG,Pit Bull,2,True,Brooklyn
105,March 12 2018,DOG,Siberian Husky,2,False,Brooklyn
106,March 11 2018,DOG,Pit Bull,4M,False,Brooklyn
107,March 09 2018,DOG,Labrador Retriever,10W,False,Brooklyn
108,March 15 2018,DOG,Beagle,7,True,Brooklyn
109,March 17 2018,DOG,Jack Russ,7,False,Brooklyn
110,March 17 2018,DOG,Rottweiler,4,True,Brooklyn
111,March 17 2018,DOG,Labrador Retriever Crossbreed,2,True,Brooklyn
112,March 18 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,False,Brooklyn
113,March 18 2018,DOG,MIXED BREED,11,False,Brooklyn
114,March 18 2018,DOG,MIXED BREED,9,False,Brooklyn
115,March 17 2018,DOG,MIXED BREED,2,False,Brooklyn
116,March 11 2018,DOG,MIXED BREED,6,True,Brooklyn
117,March 20 2018,DOG,Maltese,6,False,Brooklyn
118,March 22 2018,DOG,Maltese,6,False,Brooklyn
119,March 17 2018,DOG,Maltese,6,False,Brooklyn
120,March 21 2018,DOG,Maltese,7-8M,False,Brooklyn
121,March 11 2018,DOG,Lhasa Apso,1,False,Brooklyn
122,March 26 2018,DOG,CORGI-CHIHUAHUA X,11,True,Brooklyn
123,March 22 2018,DOG,Puggle,9,False,Brooklyn
124,March 25 2018,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,True,Brooklyn
125,March 23 2018,DOG,MIXED BREED,8,True,Brooklyn
126,March 26 2018,DOG,Pit Bull,8,False,Brooklyn
127,March 27 2018,DOG,Shih Tzu,8,False,Brooklyn
128,March 23 2018,DOG,Shih Tzu,13,False,Brooklyn
129,March 27 2018,DOG,Bichon Frise,13,False,Brooklyn
130,March 26 2018,DOG,American Pit Bull Terrier/Pit Bull,13,False,Brooklyn
131,March 23 2018,DOG,American Pit Bull Terrier/Pit Bull,13,False,Brooklyn
132,March 25 2018,DOG,American Pit Bull Mix / Pit Bull Mix,13,False,Brooklyn
133,March 28 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,True,Brooklyn
134,March 29 2018,DOG,Shih Tzu,2,False,Brooklyn
135,March 30 2018,DOG,BICHON / POODLE MIX,11,False,Brooklyn
136,April 01 2018,DOG,Maltese,11,False,Brooklyn
137,March 31 2018,DOG,Maltese,11,True,Brooklyn
138,April 04 2018,DOG,MIXED BREED,4,False,Brooklyn
139,March 31 2018,DOG,MALTESE/ SHIH TZU X,3,False,Brooklyn
140,March 31 2018,DOG,SIBERIAN HUSKY X,4,False,Brooklyn
141,April 04 2018,DOG,MIXED BREED,10,False,Brooklyn
142,April 04 2018,DOG,MIXED BREED,10,False,Brooklyn
143,April 03 2018,DOG,MIXED BREED,3,False,Brooklyn
144,April 04 2018,DOG,MIXED BREED,3,False,Brooklyn
145,March 29 2018,DOG,MIXED BREED,4,False,Brooklyn
146,April 04 2018,DOG,MIXED BREED,4,False,Brooklyn
147,April 08 2018,DOG,MIXED BREED,2,False,Brooklyn
148,April 08 2018,DOG,MIXED BREED,2,False,Brooklyn
149,April 07 2018,DOG,Akita,4,False,Brooklyn
150,April 08 2018,DOG,SHIH TZU X,3,False,Brooklyn
151,April 08 2018,DOG,RAT TERRIER MIX,1,True,Brooklyn
152,April 09 2018,DOG,BOSTON TERRIER/CHIHUAHUA,6,True,Brooklyn
153,April 09 2018,DOG,German Shepherd Crossbreed,3,True,Brooklyn
154,March 31 2018,DOG,American Pit Bull Terrier/Pit Bull,3,False,Brooklyn
155,April 07 2018,DOG,SHEPERD,3,False,Brooklyn
156,April 08 2018,DOG,MIXED BREED,3,True,Brooklyn
157,April 09 2018,DOG,Siberian Husky,1,True,Brooklyn
158,April 10 2018,DOG,Shih Tzu,6,True,Brooklyn
159,April 10 2018,DOG,Pit Bull,6,False,Brooklyn
